idx,clip_id,class,label,video_score,num_segments,score_min,score_max,score_mean,score_std
0,Normal_Videos750_x264,unknown,0,0.9999996423721313,12,0.9999992847442627,0.9999996423721313,0.9999993443489075,1.418874262526515e-07
1,Explosion018_x264,unknown,1,0.9999998211860657,18,0.9999994039535522,0.9999998807907104,0.9999997019767761,1.2085362754987727e-07
2,Stealing094_x264,unknown,1,0.9999998807907104,47,0.9999998807907104,0.9999998807907104,0.9999999403953552,5.960464477539063e-08
3,Burglary006_x264,unknown,1,0.9999998807907104,110,0.9999997615814209,0.9999998807907104,0.9999999403953552,1.7218887649050885e-07
4,Fighting024_x264,unknown,1,0.9999998211860657,80,0.9999996423721313,0.9999998807907104,0.9999998211860657,7.996801798526576e-08
5,Normal_Videos638_x264,unknown,0,5.121024049259404e-09,383,1.916847125471577e-09,1.372032887303476e-08,2.7487228049238865e-09,1.2589461695355908e-09
6,Normal_Videos218_x264,unknown,0,2.2648929842716825e-08,14,5.72486458239041e-09,2.2648929842716825e-08,1.0761153745875163e-08,5.058164997961967e-09
7,Normal_Videos463_x264,unknown,0,3.738770182337703e-09,128,1.976480090704058e-09,5.092703148079636e-09,2.6806956654468195e-09,5.307640993379437e-10
8,Stealing010_x264,unknown,1,0.9999998807907104,37,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0
9,Robbery123_x264,unknown,1,0.999976634979248,12,0.0010081336367875338,0.999976634979248,0.7330548763275146,0.4124167561531067
10,Normal_Videos204_x264,unknown,0,0.9999998807907104,9,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0
11,Burglary050_x264,unknown,1,0.9999997615814209,13,0.9999992847442627,0.9999997615814209,0.9999997019767761,1.4506204593089933e-07
12,Fighting051_x264,unknown,1,0.9999998807907104,81,0.9999997615814209,0.9999998807907104,0.9999998807907104,4.9560036075035896e-08
13,Burglary014_x264,unknown,1,0.9999998211860657,31,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0
14,Fighting006_x264,unknown,1,0.9999996423721313,10,0.9999985694885254,0.9999996423721313,0.9999994039535522,3.9716556443636364e-07
15,Normal_Videos292_x264,unknown,0,3.228135756216943e-05,52,2.1436001862440435e-09,0.0001017982212943025,3.7653931030945387e-06,1.7167853002320044e-05
16,Normal_Videos593_x264,unknown,0,3.83225495781403e-09,31,2.8723352585302564e-09,3.864442099654752e-09,3.274254423146772e-09,2.9780491961339806e-10
17,Robbery124_x264,unknown,1,0.0029881501104682684,118,2.4129935827232885e-09,0.02049797959625721,0.00035459408536553383,0.002496034372597933
18,Assault003_x264,unknown,1,0.9999999403953552,54,0.9999998807907104,0.9999998807907104,0.9999999403953552,5.960464477539063e-08
19,Shooting039_x264,unknown,1,0.9999997615814209,9,0.9999996423721313,0.9999997615814209,0.9999997615814209,3.973643103449831e-08
20,Fighting013_x264,unknown,1,0.9999998807907104,17,0.9999997615814209,0.9999998807907104,0.9999997615814209,8.673750073739939e-08
21,Normal_Videos411_x264,unknown,0,2.869033677299626e-09,10,2.257951825512805e-09,2.869033677299626e-09,2.5768474021248267e-09,2.0391296984278995e-10
22,Normal_Videos234_x264,unknown,0,1.9178558741117513e-09,66,1.8580846861127043e-09,1.9298922460109225e-09,1.8910515375836212e-09,1.4870707096270586e-11
23,Robbery049_x264,unknown,1,0.9999721646308899,23,1.4591346797487859e-08,0.9999935626983643,0.2137490212917328,0.36745548248291016
24,Normal_Videos383_x264,unknown,0,2.2225887796878396e-09,22,1.8526629119719473e-09,2.225380546505562e-09,2.0321222482522217e-09,1.0962930563351847e-10
25,Burglary019_x264,unknown,1,0.9999998807907104,35,0.9999997615814209,0.9999998807907104,0.9999998807907104,7.265202839334961e-08
