,pred_normal,pred_abuse,pred_arrest,pred_arson,pred_assault,pred_burglary,pred_explosion,pred_fighting,pred_road accident,pred_robbery,pred_shooting,pred_shoplifting,pred_stealing,pred_vandalism,pred_violence
true_normal,3666,1,0,2,2,2,5,0,23,9,1,2,4,1,75
true_abuse,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0
true_arrest,0,1,2,0,1,0,0,0,0,2,0,0,0,1,0
true_arson,2,1,0,4,0,0,3,0,2,0,0,0,1,0,0
true_assault,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
true_burglary,4,0,0,0,1,10,0,0,6,4,1,0,0,3,0
true_explosion,11,0,0,0,1,2,4,1,4,1,2,0,0,0,0
true_fighting,1,2,1,0,2,2,0,1,1,2,0,1,0,0,0
true_road accident,7,0,0,1,1,0,1,1,16,2,1,0,1,0,0
true_robbery,4,0,2,1,1,0,0,0,2,7,2,2,1,1,0
true_shooting,9,0,3,1,1,3,0,0,6,2,9,1,2,0,13
true_shoplifting,11,0,1,0,0,0,0,0,1,8,0,2,1,0,0
true_stealing,4,1,0,0,0,0,1,0,4,0,0,0,2,1,0
true_vandalism,4,0,0,0,0,0,2,0,4,2,1,0,2,0,0
true_violence,364,0,0,0,0,0,0,0,0,0,3,0,0,0,4015
