idx,clip_id,class,label,video_score,num_segments,score_min,score_max,score_mean,score_std
0,Normal_Videos750_x264,unknown,0,1.376788700407916e-11,12,7.099047912018097e-12,1.376788700407916e-11,9.798720862486121e-12,2.1119102560501757e-12
1,Explosion018_x264,unknown,1,1.0,18,1.0,1.0,1.0,0.0
2,Stealing094_x264,unknown,1,1.0,47,1.0,1.0,1.0,0.0
3,Burglary006_x264,unknown,1,1.0,110,1.0,1.0,1.0,0.0
4,Fighting024_x264,unknown,1,1.0,80,1.0,1.0,1.0,0.0
5,Normal_Videos638_x264,unknown,0,2.1776905365783472e-12,383,1.3603431532269172e-12,2.8125501060072278e-12,1.7181515541905834e-12,2.340044119846646e-13
6,Normal_Videos218_x264,unknown,0,1.7797541218556034e-11,14,3.5650048451491e-12,1.7797541218556034e-11,6.489188526803691e-12,3.3732159860494493e-12
7,Normal_Videos463_x264,unknown,0,3.606313815282536e-12,128,1.5442723055175689e-12,4.551508041988894e-12,2.2419731002254473e-12,6.205359576877401e-13
8,Stealing010_x264,unknown,1,1.0,37,1.0,1.0,1.0,0.0
9,Robbery123_x264,unknown,1,3.193066254111865e-12,12,2.385755655531785e-12,3.193066254111865e-12,2.7275744596960694e-12,2.235065024768293e-13
10,Normal_Videos204_x264,unknown,0,1.0,9,1.0,1.0,1.0,0.0
11,Burglary050_x264,unknown,1,1.0,13,1.0,1.0,1.0,0.0
12,Fighting051_x264,unknown,1,1.0,81,1.0,1.0,1.0,0.0
13,Burglary014_x264,unknown,1,1.0,31,1.0,1.0,1.0,0.0
14,Fighting006_x264,unknown,1,1.0,10,1.0,1.0,1.0,0.0
15,Normal_Videos292_x264,unknown,0,0.1610499769449234,52,1.4889127257500245e-12,0.9662717580795288,0.018582690507173538,0.1327030062675476
16,Normal_Videos593_x264,unknown,0,1.9450589142794295e-12,31,1.7275314208656245e-12,1.9573552847984566e-12,1.8250724282548036e-12,6.147887103916116e-14
17,Robbery124_x264,unknown,1,1.0,118,8.67254323910771e-11,1.0,0.48343169689178467,0.4807933270931244
18,Assault003_x264,unknown,1,1.0,54,1.0,1.0,1.0,0.0
19,Shooting039_x264,unknown,1,1.0,9,0.9999997615814209,1.0,1.0,7.947286206899662e-08
20,Fighting013_x264,unknown,1,1.0,17,1.0,1.0,1.0,0.0
21,Normal_Videos411_x264,unknown,0,1.744590908368815e-12,10,1.532552730554304e-12,1.744590908368815e-12,1.620101405461205e-12,5.2060864164571105e-14
22,Normal_Videos234_x264,unknown,0,1.3600180009953888e-12,66,1.3210472212671354e-12,1.3660113621846715e-12,1.3401313479072252e-12,1.2024877824707257e-14
23,Robbery049_x264,unknown,1,1.0,23,1.1320705657624774e-11,1.0,0.8260828852653503,0.3790239095687866
24,Normal_Videos383_x264,unknown,0,1.839970883987796e-12,22,1.38748582935444e-12,1.9006976981900126e-12,1.54939212501648e-12,1.1330960312822685e-13
25,Burglary019_x264,unknown,1,1.0,35,9.788505121832713e-05,1.0,0.9564403891563416,0.17951035499572754
26,Fighting004_x264,unknown,1,1.0,208,1.0,1.0,1.0,0.0
27,Vandalism004_x264,unknown,1,1.5535917821316025e-12,34,1.3140261448385537e-12,1.5728091572186909e-12,1.4565346541720037e-12,6.010020633289218e-14
28,Vandalism001_x264,unknown,1,1.0,17,4.887384648100124e-07,1.0,0.8155129551887512,0.37763509154319763
29,Normal_Videos723_x264,unknown,0,1.8524658803448224e-12,53,1.542976792341666e-12,1.8745022895005903e-12,1.7221943272513474e-12,8.131872725105488e-14
30,Normal_Videos427_x264,unknown,0,7.782603554662426e-12,20,2.382004749695854e-12,8.083819204307563e-12,4.343234105697036e-12,1.6186367567463944e-12
31,RoadAccidents119_x264,unknown,1,1.0,21,1.0,1.0,1.0,0.0
32,Vandalism014_x264,unknown,1,1.0,4,1.0,1.0,1.0,0.0
33,Stealing054_x264,unknown,1,4.769462168957572e-12,32,1.597876019866773e-12,6.427476606507554e-12,2.9423926403010503e-12,9.78793977292336e-13
34,Normal_Videos743_x264,unknown,0,0.9999998807907104,70,8.951444215199444e-06,1.0,0.781208336353302,0.3838500678539276
35,Explosion048_x264,unknown,1,6.748061665007299e-09,4,2.5378867410386086e-11,6.748061665007299e-09,2.189983527856043e-09,2.6860005331030834e-09
36,Robbery125_x264,unknown,1,3.527207605852345e-12,87,1.7752645057114713e-12,4.437000246382272e-12,2.504072903891652e-12,4.824708341177875e-13
37,Normal_Videos856_x264,unknown,0,1.7733540330633346e-12,225,1.4339505060786961e-12,1.969564051781947e-12,1.6111009011263167e-12,8.678321462059907e-14
38,Normal_Videos764_x264,unknown,0,1.5167904909504926e-12,44,1.3796612506958295e-12,1.534038412791261e-12,1.45540112080067e-12,3.555626794512698e-14
39,Shoplifting053_x264,unknown,1,1.5393733380011931e-12,25,1.4375213259337771e-12,1.5452328002221738e-12,1.4964119353366723e-12,2.826878779617261e-14
40,Normal_Videos079_x264,unknown,0,1.545291780820357e-12,24,1.3912645991862038e-12,1.5895956426148494e-12,1.4771982465369704e-12,4.110587534960665e-14
41,Normal_Videos792_x264,unknown,0,1.0,104,1.0,1.0,1.0,0.0
42,Normal_Videos677_x264,unknown,0,1.4451079222155272e-12,31,1.338047945012577e-12,1.4875473899542135e-12,1.3836819060322747e-12,3.025195111777679e-14
43,Normal_Videos481_x264,unknown,0,3.737106978041194e-12,111,2.193899142216571e-12,4.075520303181701e-12,3.017572519983802e-12,3.990049122267608e-13
44,RoadAccidents053_x264,unknown,1,1.0,7,0.0006517000729218125,1.0,0.7172724008560181,0.447005033493042
45,Burglary087_x264,unknown,1,1.470302937560397e-12,26,1.4026953426907185e-12,1.4752843044418817e-12,1.4368042346168952e-12,1.8677694821008818e-14
46,Burglary007_x264,unknown,1,1.0,12,1.0,1.0,1.0,0.0
47,Shoplifting052_x264,unknown,1,1.0,94,9.064149253390497e-07,1.0,0.8130283951759338,0.37358638644218445
48,Vandalism002_x264,unknown,1,1.0,22,1.0,1.0,1.0,0.0
49,Robbery138_x264,unknown,1,1.0,6,1.0,1.0,1.0,0.0
50,RoadAccidents059_x264,unknown,1,1.0,22,1.0,1.0,1.0,0.0
51,Normal_Videos458_x264,unknown,0,1.4827336407285951e-12,92,1.3358650123584948e-12,1.516571265271216e-12,1.4230619720806414e-12,3.5919160576653245e-14
52,Explosion052_x264,unknown,1,0.9999998807907104,44,0.9978457689285278,0.9999998807907104,0.9998863339424133,0.00042130338260903955
53,Normal_Videos039_x264,unknown,0,2.89771592137944e-12,21,1.86409156339995e-12,3.0870562182927497e-12,2.2280226708720763e-12,3.031433340027617e-13
54,Normal_Videos921_x264,unknown,0,1.0,20,0.9999016523361206,1.0,0.9999950528144836,2.1433037545648403e-05
55,Normal_Videos370_x264,unknown,0,2.9740817013984566e-12,55,1.773775137187128e-12,3.9587283104380866e-12,2.2616821609977578e-12,3.3975876582645337e-13
56,Burglary062_x264,unknown,1,1.0,139,1.0,1.0,1.0,0.0
57,Arrest049_x264,unknown,1,1.0,146,1.0,1.0,1.0,0.0
58,Normal_Videos380_x264,unknown,0,3.2929661601677207e-12,39,1.997849802259921e-12,3.787711030239782e-12,2.5166140872612264e-12,3.504801158495108e-13
59,Robbery005_x264,unknown,1,3.364743594858055e-09,33,3.6365530812348945e-12,5.614670950393474e-09,4.2279363343666887e-10,1.2087940648441986e-09
60,Fighting015_x264,unknown,1,1.0,123,1.0,1.0,1.0,0.0
61,Normal_Videos633_x264,unknown,0,1.7222053861135067e-12,5515,1.2875932958733571e-12,2.1411572601742757e-12,1.552917191539882e-12,9.494085341033368e-14
62,Stealing095_x264,unknown,1,9.233230152672078e-11,8,1.0792614198174011e-11,9.233230152672078e-11,3.7100142402657355e-11,3.016370833663906e-11
63,Explosion040_x264,unknown,1,0.0001138526713475585,56,2.724213649801799e-12,0.0007967910496518016,1.4231599379854742e-05,0.00010552029561949894
64,Burglary064_x264,unknown,1,1.0,606,0.9999985694885254,1.0,1.0,6.201484836765303e-08
65,Normal_Videos546_x264,unknown,0,3.9624657721670786e-11,41,2.0999356767359423e-12,1.1447823244914446e-10,8.267181210441787e-12,1.787225749338983e-11
66,Robbery136_x264,unknown,1,1.0,12,6.812546780565754e-05,1.0,0.8624529838562012,0.3145865201950073
67,Normal_Videos279_x264,unknown,0,3.459598926780494e-12,52,2.0853908877516147e-12,3.940174141819908e-12,2.7536414988482694e-12,3.75884870104648e-13
68,Abuse003_x264,unknown,1,0.9999997019767761,45,1.0464361599460403e-09,1.0,0.41634318232536316,0.4875279664993286
69,Robbery113_x264,unknown,1,1.0,9,1.0,1.0,1.0,0.0
70,RoadAccidents115_x264,unknown,1,1.0,23,1.0,1.0,1.0,0.0
71,Normal_Videos491_x264,unknown,0,1.0,149,6.225922121599892e-12,1.0,0.48355287313461304,0.48883309960365295
72,Shoplifting055_x264,unknown,1,0.8956400156021118,83,1.9888238191739793e-12,1.0,0.10791458934545517,0.3087424337863922
73,Normal_Videos637_x264,unknown,0,0.017458802089095116,24,1.379569809084602e-11,0.052335962653160095,0.002182456897571683,0.01045773085206747
74,Robbery150_x264,unknown,1,1.0,45,1.0,1.0,1.0,0.0
75,Vandalism019_x264,unknown,1,2.9672706514105585e-09,24,3.809035031832053e-11,6.695445087245844e-09,6.198581647964829e-10,1.2979152197445387e-09
76,Normal_Videos095_x264,unknown,0,1.9055473345075402e-12,12,1.7430540517893167e-12,1.9055473345075402e-12,1.8618732857550446e-12,4.182308186296939e-14
77,Normal_Videos285_x264,unknown,0,0.9999952912330627,23,0.9999878406524658,0.9999954700469971,0.9999921917915344,1.9669532775878906e-06
78,Robbery062_x264,unknown,1,1.0,44,6.965900078981235e-11,1.0,0.6862577795982361,0.4573516845703125
79,Normal_Videos022_x264,unknown,0,1.4698160223647339e-12,3,1.4295702208816374e-12,1.4698160223647339e-12,1.4467494043046703e-12,1.6949485028396397e-14
80,Normal_Videos434_x264,unknown,0,0.9996892213821411,22,1.8373226551293698e-10,0.9999086856842041,0.2541244328022003,0.40577244758605957
81,Normal_Videos847_x264,unknown,0,1.5624131762675963e-12,43,1.28463743549051e-12,1.5804715392322977e-12,1.4323995548709556e-12,7.915875257797494e-14
82,Abuse024_x264,unknown,1,1.0,11,1.0,1.0,1.0,0.0
83,Burglary090_x264,unknown,1,1.0,33,1.0,1.0,1.0,0.0
84,Normal_Videos475_x264,unknown,0,6.2914621429266404e-12,217,1.8416785024094606e-12,9.971622486060205e-12,3.844125105040286e-12,1.2129621309101002e-12
85,Normal_Videos671_x264,unknown,0,1.645475314164535e-12,11,1.3041135012159533e-12,1.645475314164535e-12,1.4956940850782696e-12,1.1495177639625487e-13
86,Normal_Videos539_x264,unknown,0,1.0,11,1.0,1.0,1.0,0.0
87,Arson012_x264,unknown,1,2.1935521843374772e-08,10,8.902387160780734e-11,2.1935521843374772e-08,4.07319955542107e-09,6.491805759623048e-09
88,Normal_Videos741_x264,unknown,0,1.4301426796287098e-12,69,1.3486708494783728e-12,1.4670318996060083e-12,1.3858693923354815e-12,2.3709800670099895e-14
89,RoadAccidents101_x264,unknown,1,1.9304820329107963e-12,2,1.799685183864752e-12,1.9304820329107963e-12,1.8650836083877742e-12,6.539842452302214e-14
90,Normal_Videos787_x264,unknown,0,1.4058544909809068e-12,74,1.359072359860547e-12,1.4240998788203618e-12,1.3801496837745342e-12,1.302451900400247e-14
91,Normal_Videos565_x264,unknown,0,3.352660813901731e-12,669,1.5344832609426318e-12,5.496348168265719e-12,2.3187055574191984e-12,5.089115977588432e-13
92,Robbery120_x264,unknown,1,1.0,11,1.0,1.0,1.0,0.0
93,Vandalism016_x264,unknown,1,0.9999947547912598,71,9.187591558657004e-07,0.9999996423721313,0.613831639289856,0.395512193441391
94,Robbery089_x264,unknown,1,1.0,2,1.0,1.0,1.0,0.0
95,Normal_Videos011_x264,unknown,0,1.5877502220970618e-12,10,1.5037477556559264e-12,1.5877502220970618e-12,1.5434253267804232e-12,3.0516750557747427e-14
96,Normal_Videos071_x264,unknown,0,1.5036846550894878e-12,10,1.4080296173793472e-12,1.5036846550894878e-12,1.454740624837192e-12,3.6115695937338765e-14
97,Normal_Videos843_x264,unknown,0,1.4235623313832435e-12,4,1.3934476402605034e-12,1.4235623313832435e-12,1.4057277477469432e-12,1.1127721702799184e-14
98,Arrest021_x264,unknown,1,1.0,108,1.0,1.0,1.0,0.0
99,Normal_Videos572_x264,unknown,0,6.1693952897734494e-12,54,3.4830595439100387e-12,7.6228363898867e-12,5.047107697053743e-12,6.438290655816359e-13
100,Assault029_x264,unknown,1,1.0,6,1.0,1.0,1.0,0.0
101,Robbery131_x264,unknown,1,1.0,18,1.0,1.0,1.0,0.0
102,Normal_Videos142_x264,unknown,0,9.38321816079668e-12,22,3.561361925849549e-12,9.622172850165533e-12,5.673305141645768e-12,1.7804462331544313e-12
103,Normal_Videos472_x264,unknown,0,6.0934725147621105e-12,2259,2.0470578357412172e-12,1.704893518028605e-11,3.676283236164757e-12,1.1645539133714466e-12
104,Vandalism041_x264,unknown,1,1.0,59,1.0,1.0,1.0,0.0
105,Burglary065_x264,unknown,1,1.0,116,2.1282488660290255e-07,1.0,0.8411515355110168,0.35024967789649963
106,Normal_Videos479_x264,unknown,0,1.0,494,0.9998501539230347,1.0,0.9999996423721313,6.740867320331745e-06
107,Normal_Videos804_x264,unknown,0,1.5852504855681793e-12,33,1.3676615178911944e-12,1.674955638596154e-12,1.4498187806549767e-12,6.320641167574526e-14
108,Normal_Videos529_x264,unknown,0,1.444462279821812e-12,1348,1.3141764152596602e-12,1.504149344140615e-12,1.3891967003826222e-12,2.937280545742618e-14
109,Normal_Videos343_x264,unknown,0,2.081981071919148e-12,9,1.6933232160204481e-12,2.081981071919148e-12,1.8588852245676746e-12,1.136647877599331e-13
110,Assault032_x264,unknown,1,1.0,6,1.0,1.0,1.0,0.0
111,Burglary034_x264,unknown,1,7.921784755948735e-11,15,7.123148858950712e-12,7.921784755948735e-11,2.7085356527067894e-11,2.3212166563868486e-11
112,Normal_Videos404_x264,unknown,0,1.4146396727643396e-12,42,1.3241551952147823e-12,1.450881081943578e-12,1.3641387281923545e-12,2.379190526774315e-14
113,Stealing071_x264,unknown,1,1.0,11,1.0,1.0,1.0,0.0
114,Robbery006_x264,unknown,1,1.0,41,3.5728639491416914e-10,1.0,0.4744931161403656,0.48273566365242004
115,Normal_Videos297_x264,unknown,0,1.8708413724449757e-12,3,1.6913476912419623e-12,1.8708413724449757e-12,1.7538898935617886e-12,8.27638332217065e-14
116,RoadAccidents029_x264,unknown,1,1.0,5,1.0,1.0,1.0,0.0
117,Normal_Videos376_x264,unknown,0,1.9375904960344803e-12,56,1.5774118122813263e-12,2.0707929728608354e-12,1.7565572477465374e-12,9.444288612877466e-14
118,Normal_Videos845_x264,unknown,0,1.8756263903130233e-11,6,7.035168021057858e-12,1.8756263903130233e-11,1.0531234738431205e-11,3.7864841470613975e-12
119,Normal_Videos062_x264,unknown,0,1.5148249408319936e-12,18,1.3536215334383761e-12,1.5510440154464789e-12,1.4219489301303678e-12,4.601890700103861e-14
120,Normal_Videos233_x264,unknown,0,1.0,10,1.0,1.0,1.0,0.0
121,Normal_Videos133_x264,unknown,0,1.4437614515375174e-12,53,1.2619690448884002e-12,1.462954974176811e-12,1.3405589572440535e-12,4.8581649228669754e-14
